,metric,score,algorithm,config_idx,execution_time,signal_idx
118,ses-recall_0.36,0.9612403100775194,BasePersistentPattern,0,105.15981888771057,0
119,ses-fscore_0.36,0.9586107812131646,BasePersistentPattern,0,105.15981888771057,0
120,ses-precision_0.37,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
121,ses-recall_0.37,0.9612403100775194,BasePersistentPattern,0,105.15981888771057,0
122,ses-fscore_0.37,0.9586107812131646,BasePersistentPattern,0,105.15981888771057,0
123,ses-precision_0.38,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
124,ses-recall_0.38,0.9612403100775194,BasePersistentPattern,0,105.15981888771057,0
125,ses-fscore_0.38,0.9586107812131646,BasePersistentPattern,0,105.15981888771057,0
126,ses-precision_0.39,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
127,ses-recall_0.39,0.9612403100775194,BasePersistentPattern,0,105.15981888771057,0
128,ses-fscore_0.39,0.9586107812131646,BasePersistentPattern,0,105.15981888771057,0
129,ses-precision_0.4,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
130,ses-recall_0.4,0.9612403100775194,BasePersistentPattern,0,105.15981888771057,0
131,ses-fscore_0.4,0.9586107812131646,BasePersistentPattern,0,105.15981888771057,0
132,ses-precision_0.41,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
133,ses-recall_0.41,0.9601328903654485,BasePersistentPattern,0,105.15981888771057,0
134,ses-fscore_0.41,0.9580597783584794,BasePersistentPattern,0,105.15981888771057,0
135,ses-precision_0.42,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
136,ses-recall_0.42,0.9579180509413068,BasePersistentPattern,0,105.15981888771057,0
137,ses-fscore_0.42,0.9569558597370325,BasePersistentPattern,0,105.15981888771057,0
138,ses-precision_0.43,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
139,ses-recall_0.43,0.9534883720930233,BasePersistentPattern,0,105.15981888771057,0
140,ses-fscore_0.43,0.9547403397824106,BasePersistentPattern,0,105.15981888771057,0
141,ses-precision_0.44,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
142,ses-recall_0.44,0.9479512735326688,BasePersistentPattern,0,105.15981888771057,0
143,ses-fscore_0.44,0.9519564425896669,BasePersistentPattern,0,105.15981888771057,0
144,ses-precision_0.45,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
145,ses-recall_0.45,0.9457364341085271,BasePersistentPattern,0,105.15981888771057,0
146,ses-fscore_0.45,0.9508383445665676,BasePersistentPattern,0,105.15981888771057,0
